lat;lon;signal
5.437593;-4.014598;-94.3
5.4375918;-4.0146311;-97.0
5.4376358;-4.01461;-94.0
5.4377362;-4.0142835;-76.7
5.4377086;-4.0143253;-86.0
5.4376784;-4.0145677;-95.3
5.4377787;-4.0146795;-98.3
5.4377291;-4.0146615;-96.3
5.4376845;-4.0146456;-96.0
5.4376343;-4.0146521;-94.3
5.4375453;-4.0146232;-97.7
5.4375447;-4.014576;-94.7
5.4375895;-4.0145093;-94.3
5.4377362;-4.0142835;-76.7
5.4377086;-4.0143253;-86.0
5.4376784;-4.0145677;-95.3
5.4377787;-4.0146795;-98.3
5.4377291;-4.0146615;-96.3
5.4376845;-4.0146456;-96.0
5.4376343;-4.0146521;-94.3
5.4375453;-4.0146232;-97.7
5.4375447;-4.014576;-94.7
5.4375895;-4.0145093;-94.3
5.4380664;-4.0138922;-71.7
5.4380295;-4.013887;-75.0
5.4379986;-4.0138908;-67.0
5.4379684;-4.0138888;-66.0
5.4379367;-4.013886;-66.3
5.4379161;-4.0138837;-64.0
5.4378917;-4.0138863;-66.3
5.4378872;-4.0139103;-66.0
5.4379034;-4.0139346;-63.3
5.4379503;-4.0139529;-63.3
5.4379877;-4.0139537;-63.3
5.4379907;-4.0139726;-66.3
5.4379763;-4.0139907;-65.7
5.437969;-4.014001;-68.0
5.4379454;-4.0139786;-63.7
5.4379158;-4.0139637;-65.0
5.4379086;-4.0139789;-65.0
5.4379117;-4.014018;-64.3
5.4379381;-4.0140442;-69.0
5.437972;-4.0140504;-68.7
5.4380059;-4.014044;-67.0
5.4380364;-4.0140405;-64.7
5.4380659;-4.0140192;-63.3
5.4380725;-4.0139948;-68.0
5.4380721;-4.0139744;-62.3
5.4380657;-4.0139795;-69.0
5.4380605;-4.0139708;-61.3
5.4380813;-4.0139616;-63.7
5.4380933;-4.0139873;-69.0
5.4380908;-4.0140283;-69.0
5.4380812;-4.0140705;-72.0
5.4380701;-4.0140955;-74.7
5.4380688;-4.0141016;-74.7
5.4379634;-4.0141293;-75.7
5.4379956;-4.0141344;-67.7
5.4380249;-4.0141228;-71.0
5.4380265;-4.0140773;-68.7
5.437998;-4.0140747;-67.3
5.4379658;-4.0140855;-75.3
5.4379509;-4.0140984;-75.3
5.4379334;-4.014138;-75.3
5.4379919;-4.0141819;-75.0
5.4380432;-4.0141927;-76.7
